CSMA_CD_episodes,CSMA_CD_low,CSMA_CD_median,CSMA_CD_high,STR_episodes,STR_low,STR_median,STR_high,RR_episodes,RR_low,RR_median,RR_high,NoneBlind_episodes,NoneBlind_low,NoneBlind_median,NoneBlind_high,NoneSeeing_episodes,NoneSeeing_low,NoneSeeing_median,NoneSeeing_high
0,341.388,361.168,382.748,0,341.552,362.784,384.804,0,339.836,362.868,383.876,0,342.092,365.064,385.404,0,339.784,364.704,386.012
250,344.232,364.344,384.964,250,344.96,365.74,387.096,250,345.976,367.172,389.152,250,343.384,364.02,386.26,250,343.728,366.032,385.688
500,345.796,367.792,387.26,500,346.444,366.18,387.92,500,346.276,367.708,392.072,500,340.276,362.752,385.2,500,341.604,363.436,384.888
750,346.096,367.696,389.908,750,342.152,364.852,385.684,750,348.068,368.18,389.452,750,343.476,364.036,386.364,750,342.32,364.064,384.7
1000,348.78,369.04,388.612,1000,343.62,364.24,386.928,1000,348.068,370.004,392.728,1000,345.972,367.308,387.336,1000,344.268,365.948,388.44
1250,349.196,370.428,391.152,1250,343.888,363.02,384.4,1250,348.42,369.452,389.796,1250,343.664,366.584,386.996,1250,344.332,364.124,385.872
1500,349.4,370.208,392.268,1500,344.76,366.24,388.18,1500,350.356,372.536,393.56,1500,345.66,366.712,388.656,1500,345.124,366.544,388.736
1750,350.516,370.724,390.964,1750,343.212,365.044,386.78,1750,350.744,369.976,393.424,1750,346.828,367.704,389.356,1750,342.38,365.384,386.196
2000,349.464,371.084,392.94,2000,346.54,369.476,389.724,2000,352.832,374.492,395.692,2000,348.876,370.756,391.316,2000,348.604,368.152,389.176
2250,349.212,371.936,394.48,2250,345.152,365.66,387.704,2250,351.352,372.656,394.82,2250,346.736,367.876,389.3,2250,346.268,366.152,389.188
2500,352.38,372.212,396.02,2500,345.972,365.996,387.22,2500,352.604,373.708,394.14,2500,347.908,371.46,394.288,2500,347.972,369.248,390.256
2750,350.456,371.556,390.5,2750,346.708,367.864,390.368,2750,354.888,375.712,395.696,2750,352.82,374.132,396.2,2750,351.328,373.652,394.096
3000,351.6,372.696,393.076,3000,346.908,368.34,390.032,3000,353.296,375.444,396.008,3000,351.752,373.02,394.004,3000,352.0,373.952,394.704
3250,352.94,372.796,393.736,3250,349.756,369.956,390.572,3250,355.412,377.024,395.86,3250,350.668,370.784,394.252,3250,347.1,368.588,390.22
3500,351.448,370.68,391.888,3500,346.964,371.436,392.816,3500,353.82,377.088,396.408,3500,351.128,371.74,394.024,3500,351.036,373.2,392.904
3750,350.9,372.964,393.12,3750,348.668,369.192,390.364,3750,352.808,372.892,394.904,3750,352.224,373.816,395.804,3750,349.776,371.428,393.172
4000,349.524,372.952,396.004,4000,350.756,372.8,394.688,4000,350.292,372.504,395.356,4000,350.952,372.416,392.86,4000,349.64,371.136,392.844
4250,351.532,371.6,393.74,4250,350.92,370.836,390.788,4250,353.072,375.944,397.196,4250,352.576,376.412,396.4,4250,352.76,372.54,394.296
4500,353.048,372.992,393.508,4500,352.424,371.268,391.604,4500,354.036,376.236,396.868,4500,349.924,372.652,393.072,4500,348.408,369.796,391.852
4750,352.672,374.02,395.32,4750,346.548,368.736,389.912,4750,352.916,373.216,394.348,4750,356.468,376.212,395.368,4750,352.588,375.276,394.608
5000,353.14,374.412,394.532,5000,352.648,374.524,395.12,5000,354.424,375.8,396.792,5000,352.84,374.824,395.748,5000,350.816,372.296,394.096
5250,353.148,374.192,397.228,5250,353.58,373.792,393.728,5250,354.324,375.292,396.112,5250,355.892,375.648,395.492,5250,352.264,373.088,391.896
5500,351.668,371.612,395.24,5500,352.632,370.98,394.572,5500,351.8,373.972,396.064,5500,355.116,374.592,395.128,5500,353.524,374.304,394.14
