CSMA_CD_episodes,CSMA_CD_low,CSMA_CD_median,CSMA_CD_high,STR_episodes,STR_low,STR_median,STR_high,RR_episodes,RR_low,RR_median,RR_high,NoneBlind_episodes,NoneBlind_low,NoneBlind_median,NoneBlind_high,NoneSeeing_episodes,NoneSeeing_low,NoneSeeing_median,NoneSeeing_high
0,413.014,439.784,465.712,0,407.78,434.836,458.668,0,407.024,435.492,461.454,0,405.686,431.524,459.734,0,405.608,431.888,459.588
250,417.954,442.092,471.662,250,411.362,439.232,465.318,250,414.748,436.908,464.026,250,405.466,430.104,456.298,250,406.114,430.16,459.37
500,416.21,443.844,471.894,500,413.984,438.82,468.082,500,418.888,442.312,472.192,500,403.856,429.884,458.57,500,407.064,437.368,462.19
750,423.988,452.264,479.614,750,417.618,446.256,472.9,750,420.362,450.232,478.036,750,411.934,437.212,462.724,750,406.992,432.84,461.12
1000,433.852,462.008,491.342,1000,419.682,448.608,474.8,1000,425.216,452.412,479.078,1000,411.312,436.248,462.23,1000,411.314,436.476,465.226
1250,439.626,466.692,494.6,1250,416.734,442.628,469.596,1250,432.576,457.148,484.026,1250,410.316,436.984,464.118,1250,410.124,437.116,465.254
1500,442.27,469.564,497.488,1500,428.212,455.192,482.23,1500,433.19,459.812,485.55,1500,406.696,434.076,461.864,1500,410.668,436.368,462.92
1750,444.94,472.968,503.162,1750,433.872,462.024,489.424,1750,442.646,469.776,498.39,1750,408.288,435.86,465.642,1750,409.03,434.616,462.146
2000,451.116,479.892,505.248,2000,429.426,456.072,485.662,2000,446.756,472.98,500.888,2000,413.904,441.488,469.868,2000,409.536,435.34,464.338
2250,458.964,487.524,515.91,2250,435.98,464.144,491.984,2250,446.59,474.336,502.064,2250,411.446,438.116,466.086,2250,410.696,438.512,464.992
2500,458.054,485.028,516.098,2500,438.014,464.296,491.092,2500,449.238,475.6,504.74,2500,413.07,439.636,467.528,2500,409.996,435.648,463.724
2750,462.304,489.312,517.628,2750,438.192,464.76,491.91,2750,455.466,483.356,512.084,2750,410.326,436.568,466.156,2750,411.578,437.608,465.406
3000,468.358,494.996,522.454,3000,439.402,465.776,495.274,3000,460.158,486.408,515.942,3000,415.296,440.06,466.278,3000,417.246,444.052,467.826
3250,467.692,496.848,523.324,3250,440.32,468.204,495.25,3250,460.598,486.924,514.284,3250,414.52,440.268,469.796,3250,415.254,440.864,468.466
3500,474.994,499.92,528.5,3500,441.21,465.836,494.12,3500,466.064,492.564,518.388,3500,413.904,440.804,467.866,3500,416.128,441.696,468.192
3750,477.078,504.112,535.412,3750,448.0,473.968,502.456,3750,466.614,492.688,521.344,3750,418.234,445.872,471.67,3750,417.59,442.552,470.568
4000,479.99,507.468,534.532,4000,444.974,473.068,499.626,4000,472.918,499.98,527.612,4000,414.56,441.824,471.69,4000,418.8,444.652,471.61
4250,478.35,505.056,535.29,4250,450.36,475.204,502.77,4250,465.78,494.52,522.55,4250,419.14,446.312,473.336,4250,415.506,443.2,469.056
4500,487.872,517.208,543.934,4500,453.408,479.212,507.218,4500,474.496,501.444,528.906,4500,413.674,441.612,468.312,4500,412.9,440.036,469.71
4750,483.666,513.248,542.77,4750,449.634,476.292,502.902,4750,478.15,507.852,534.92,4750,415.274,441.812,468.216,4750,409.816,438.008,465.442
5000,491.604,520.128,547.564,5000,452.074,479.452,507.146,5000,479.69,506.808,534.154,5000,419.246,444.592,471.462,5000,416.554,444.556,473.558
5250,490.368,514.764,542.758,5250,455.436,481.284,510.462,5250,481.186,509.32,536.546,5250,419.774,443.3,471.952,5250,416.28,442.5,470.67
5500,492.364,520.452,545.824,5500,456.824,483.276,511.274,5500,484.93,511.784,538.63,5500,417.87,443.4,472.544,5500,412.862,439.856,466.27
5750,496.048,526.412,552.858,5750,459.376,485.232,510.458,5750,486.124,513.524,543.44,5750,422.624,450.216,478.03,5750,421.844,449.0,474.508
6000,498.858,526.756,554.654,6000,460.73,487.756,513.656,6000,485.178,514.408,540.192,6000,420.164,448.136,476.18,6000,415.988,441.228,468.624
6250,507.43,532.784,563.662,6250,464.26,492.248,519.368,6250,498.492,525.488,553.418,6250,423.534,451.336,478.776,6250,420.42,448.068,474.172
6500,502.488,529.808,555.45,6500,458.876,486.776,514.936,6500,490.634,517.608,544.022,6500,418.57,445.968,475.658,6500,413.786,440.452,469.388
6750,507.012,533.028,560.7,6750,465.116,489.688,517.67,6750,491.396,518.36,550.556,6750,425.298,451.256,477.262,6750,418.444,443.548,472.112
7000,501.998,529.056,557.556,7000,464.174,490.2,517.868,7000,491.512,519.58,548.622,7000,421.2,446.408,476.91,7000,415.828,443.532,470.118
7250,509.506,536.592,564.356,7250,465.942,492.868,519.282,7250,494.26,522.764,548.81,7250,418.35,445.648,472.236,7250,418.48,443.976,472.148
7500,507.63,534.44,565.052,7500,464.922,493.508,520.538,7500,497.652,525.528,553.222,7500,417.772,445.108,470.36,7500,418.052,442.628,472.28
7750,509.618,536.72,565.218,7750,465.192,491.42,520.01,7750,499.6,528.328,557.492,7750,426.846,455.428,480.812,7750,419.014,444.424,472.292
8000,513.032,542.564,569.888,8000,469.092,496.932,522.99,8000,497.462,523.332,552.67,8000,418.032,443.092,473.56,8000,418.266,444.908,474.988
8250,509.142,537.664,567.538,8250,462.862,487.684,518.838,8250,499.872,526.992,556.06,8250,421.408,451.628,478.59,8250,421.93,448.408,474.802
8500,509.74,538.828,567.128,8500,467.362,494.788,521.402,8500,503.97,531.28,559.154,8500,421.366,448.436,475.902,8500,420.082,447.308,473.906
8750,508.35,537.36,567.564,8750,468.976,494.544,524.782,8750,503.798,531.44,558.302,8750,421.298,445.508,475.742,8750,422.786,447.676,475.548
9000,515.16,545.336,574.524,9000,469.984,496.38,526.016,9000,503.85,532.388,558.042,9000,424.036,451.784,478.002,9000,421.828,449.184,476.862
9250,515.414,540.592,570.476,9250,472.668,500.156,527.236,9250,502.586,531.324,561.18,9250,424.608,453.264,479.48,9250,422.344,449.956,478.24
9500,514.432,542.584,571.328,9500,470.994,497.192,522.694,9500,500.814,527.44,556.52,9500,426.224,454.872,480.998,9500,419.45,445.9,475.552
9750,518.554,546.756,576.882,9750,475.834,504.392,530.624,9750,504.562,533.92,561.664,9750,424.69,452.04,478.392,9750,423.3,449.572,477.62
10000,514.52,543.28,572.372,10000,471.192,498.352,526.866,10000,506.812,532.468,561.294,10000,420.968,446.588,475.754,10000,419.164,447.864,475.444
10250,517.428,546.128,573.984,10250,475.158,502.444,530.444,10250,506.514,531.524,559.416,10250,424.774,453.52,479.606,10250,421.724,447.272,475.676
10500,523.516,549.26,575.39,10500,471.036,497.52,525.478,10500,507.872,535.7,564.782,10500,423.95,452.548,478.608,10500,419.294,446.744,474.444
10750,519.644,547.404,576.81,10750,471.32,500.344,526.514,10750,505.856,535.152,563.986,10750,425.256,451.136,477.696,10750,422.086,449.812,476.342
11000,519.95,546.712,576.044,11000,475.024,502.128,527.92,11000,509.872,536.868,562.864,11000,422.192,448.384,478.096,11000,421.4,449.076,474.58
11250,522.576,548.256,576.554,11250,475.42,501.544,531.01,11250,508.642,535.184,563.398,11250,424.578,453.548,482.47,11250,417.0,444.808,472.156
11500,520.124,546.368,577.136,11500,475.486,502.092,529.192,11500,507.876,537.0,564.59,11500,424.494,451.576,479.402,11500,424.038,448.54,477.798
11750,520.14,546.264,575.408,11750,472.32,498.988,527.938,11750,508.19,535.808,565.242,11750,426.836,455.016,483.166,11750,425.37,452.448,480.302
12000,521.124,549.176,579.364,12000,478.014,504.904,529.594,12000,507.204,532.488,563.062,12000,422.45,451.692,481.046,12000,422.436,450.376,478.262
12250,520.818,551.288,578.616,12250,474.728,501.368,526.79,12250,517.232,542.068,566.652,12250,426.086,455.404,480.248,12250,420.442,446.456,474.672
12500,525.194,553.412,581.022,12500,472.034,499.132,528.86,12500,512.212,539.112,564.926,12500,418.81,446.216,477.168,12500,421.978,449.28,475.6
12750,523.444,550.188,580.492,12750,474.096,499.988,529.49,12750,511.036,539.82,567.26,12750,421.32,448.928,475.206,12750,422.47,450.828,478.524
13000,520.75,550.896,577.87,13000,472.356,498.504,526.56,13000,513.82,541.356,569.68,13000,420.494,449.048,478.626,13000,423.404,451.424,479.136
13250,527.848,553.628,584.098,13250,476.276,503.444,529.966,13250,514.816,540.772,570.264,13250,425.624,450.984,480.114,13250,422.822,451.372,481.074
13500,526.194,553.452,580.302,13500,476.822,504.244,531.002,13500,515.536,541.476,568.472,13500,420.994,445.712,476.596,13500,422.938,451.02,479.272
13750,525.3,553.684,581.914,13750,477.376,505.008,534.618,13750,512.512,539.224,567.924,13750,424.55,452.636,480.132,13750,416.768,443.72,474.208
14000,527.206,552.984,580.524,14000,471.766,497.528,527.356,14000,512.662,543.804,570.236,14000,423.132,451.392,479.78,14000,422.864,449.716,477.416
14250,525.544,553.416,582.476,14250,476.576,502.856,530.648,14250,506.984,536.2,567.182,14250,428.27,454.34,483.002,14250,425.394,451.836,480.652
14500,525.998,553.6,581.876,14500,481.064,505.32,535.406,14500,514.81,540.76,568.39,14500,425.62,452.536,482.926,14500,425.098,454.488,482.684
