CSMA_CD_episodes,CSMA_CD_low,CSMA_CD_median,CSMA_CD_high,STR_episodes,STR_low,STR_median,STR_high,RR_episodes,RR_low,RR_median,RR_high,NoneBlind_episodes,NoneBlind_low,NoneBlind_median,NoneBlind_high,NoneSeeing_episodes,NoneSeeing_low,NoneSeeing_median,NoneSeeing_high
0,403.312,435.088,465.832,0,402.352,435.62,463.572,0,400.852,430.42,465.048,0,400.392,429.324,461.048,0,399.536,429.036,459.188
250,412.8,444.564,475.512,250,406.152,436.548,470.6,250,409.872,439.336,467.764,250,401.68,430.864,465.832,250,401.684,429.868,464.648
500,415.812,446.396,478.336,500,409.072,438.68,471.272,500,412.56,442.024,475.14,500,399.972,431.24,464.796,500,403.18,438.208,468.168
750,418.252,450.292,481.764,750,414.3,445.224,479.136,750,415.552,448.764,480.176,750,405.932,433.844,467.2,750,403.028,434.012,465.676
1000,426.82,458.996,494.024,1000,414.324,446.512,476.504,1000,420.836,454.528,487.28,1000,404.6,435.804,467.956,1000,405.1,435.584,471.136
1250,433.428,462.276,496.168,1250,412.984,443.264,475.368,1250,426.696,457.484,492.12,1250,405.308,435.416,464.46,1250,403.468,432.388,467.68
1500,439.164,470.128,502.86,1500,422.512,453.444,485.544,1500,429.004,460.4,491.416,1500,403.024,435.868,468.296,1500,407.148,436.584,466.452
1750,439.812,474.008,506.604,1750,425.108,458.024,488.516,1750,438.296,467.228,499.048,1750,403.06,438.248,470.404,1750,402.772,432.464,466.388
2000,448.556,479.68,512.292,2000,426.0,453.12,488.56,2000,439.192,470.848,505.2,2000,408.816,438.408,470.612,2000,402.2,435.108,469.5
2250,454.56,485.108,519.9,2250,432.564,461.744,493.512,2250,442.364,473.036,507.052,2250,405.792,439.244,470.608,2250,404.048,436.908,468.98
2500,455.26,487.636,523.316,2500,434.372,463.936,496.356,2500,444.98,474.268,507.144,2500,407.82,439.064,469.288,2500,404.728,435.4,467.096
2750,459.056,488.396,522.244,2750,435.036,464.316,495.404,2750,450.628,481.328,514.668,2750,406.16,438.796,472.02,2750,405.868,437.352,470.2
3000,463.72,493.976,527.968,3000,436.892,468.004,500.328,3000,454.488,486.464,519.384,3000,406.648,437.316,470.556,3000,407.424,440.348,468.796
3250,460.792,493.86,527.016,3250,436.2,467.568,503.224,3250,458.624,487.176,518.632,3250,408.428,439.14,473.052,3250,408.528,439.236,470.928
3500,469.428,501.472,533.524,3500,437.256,466.816,499.36,3500,459.636,493.472,522.56,3500,408.668,438.604,473.248,3500,413.532,444.64,473.804
3750,471.872,504.292,538.992,3750,442.92,477.004,510.532,3750,461.672,491.8,526.148,3750,410.248,443.812,477.804,3750,410.48,443.768,475.228
4000,475.908,505.216,536.452,4000,442.308,474.788,508.556,4000,467.364,500.692,534.32,4000,409.896,440.348,477.328,4000,413.664,442.572,475.86
